USN,CIA1-C
1DS17IS094,42
1DS18IS001,41
1DS18IS002,44
1DS18IS003,45
1DS18IS004,45
1DS18IS005,45
1DS18IS006,47
1DS18IS007,46
1DS18IS008,41
1DS18IS009,43
1DS18IS010,42
1DS18IS011,48
1DS18IS013,44
1DS18IS014,43
1DS18IS015,46
1DS18IS016,41
1DS18IS017,45
1DS18IS018,41
1DS18IS019,43
1DS18IS020,47
1DS18IS021,43
1DS18IS022,47
1DS18IS023,44
1DS18IS024,44
1DS18IS025,46
1DS18IS026,45
1DS18IS028,46
1DS18IS029,47
1DS18IS030,45
1DS18IS031,44
1DS18IS032,46
1DS18IS033,46
1DS18IS034,47
1DS18IS035,47
1DS18IS036,44
1DS18IS037,40
1DS18IS038,43
1DS18IS039,47
1DS18IS041,44
1DS18IS042,46
1DS18IS043,45
1DS18IS044,47
1DS18IS045,48
1DS18IS046,45
1DS18IS047,47
1DS18IS048,48
1DS18IS049,47
1DS18IS051,47
1DS18IS052,47
1DS18IS053,0
1DS18IS054,0
1DS18IS055,44
1DS18IS056,47
1DS18IS057,45
1DS18IS058,44
1DS18IS059,45
1DS18IS060,45
1DS18IS061,48
1DS18IS062,0
1DS18IS063,45
1DS18IS064,37
1DS18IS066,45
1DS18IS067,46
1DS18IS068,47
1DS18IS069,42
1DS18IS070,44
1DS18IS071,47
1DS18IS072,43
1DS18IS073,46
1DS18IS075,47
1DS18IS076,44
1DS18IS077,0
1DS18IS078,44
1DS18IS079,0
1DS18IS080,47
1DS18IS081,40
1DS18IS082,46
1DS18IS084,45
1DS18IS085,46
1DS18IS086,46
1DS18IS087,45
1DS18IS088,41
1DS18IS089,43
1DS18IS090,44
1DS18IS091,46
1DS18IS092,42
1DS18IS093,45
1DS18IS094,44
1DS18IS095,43
1DS18IS096,45
1DS18IS097,42
1DS18IS098,46
1DS18IS099,38
1DS18IS100,40
1DS18IS101,46
1DS18IS102,44
1DS18IS103,46
1DS18IS104,43
1DS18IS105,48
1DS18IS106,44
1DS18IS107,45
1DS18IS108,45
1DS18IS109,45
1DS18IS110,46
1DS18IS111,46
1DS18IS112,45
1DS18IS113,45
1DS18IS114,47
1DS18IS115,47
1DS18IS116,45
1DS18IS117,42
1DS18IS118,43
1DS18IS119,45
1DS18IS120,46
1DS18IS121,45
1DS18IS122,42
1DS18IS123,45
1DS18IS124,45
1DS18IS125,44
1DS18IS126,41
1DS19IS400,42
1DS19IS401,40
1DS19IS402,42
1DS19IS403,36
1DS19IS404,42
1DS19IS405,41
1DS19IS406,45
1DS19IS407,42
1DS19IS408,41
1DS19IS409,43
1DS19IS410,36
1DS19IS411,39
1DS19IS412,0
1DS19IS413,39
